news_no,user_no,news_spred_no,source,fake_news,followers_no
45,4426,1,Bf,0,67
64,4426,1,Bf,0,1
45,4427,1,Bf,0,101
109,4428,1,Bf,1,2
125,4428,1,Bf,1,40
143,4428,1,Bf,1,34
181,4428,2,Bf,1,1
72,4429,1,Bf,0,3
2,4430,2,Bf,0,129
3,4430,2,Bf,0,42
5,4430,3,Bf,0,15
7,4430,2,Bf,0,16
9,4430,3,Bf,0,147
17,4430,2,Bf,0,3
23,4430,1,Bf,0,7
34,4430,2,Bf,0,6
38,4430,2,Bf,0,3
42,4430,5,Bf,0,9
45,4430,1,Bf,0,113
50,4430,2,Bf,0,127
51,4430,2,Bf,0,58
57,4430,2,Bf,0,1
64,4430,1,Bf,0,4
66,4430,3,Bf,0,89
71,4430,2,Bf,0,148
73,4430,3,Bf,0,3
80,4430,2,Bf,0,132
85,4430,2,Bf,0,19
86,4430,2,Bf,0,20
46,4431,1,Bf,0,7
45,4432,1,Bf,0,221
91,4433,1,Bf,0,4
6,4434,1,Bf,0,17
150,4435,1,Bf,1,930
91,4436,1,Bf,0,134
65,4437,1,Bf,0,22
180,4437,1,Bf,1,2
136,4438,1,Bf,1,127
126,4439,1,Bf,1,6
136,4439,1,Bf,1,5
171,4439,1,Bf,1,2
42,4440,1,Bf,0,33
127,4441,1,Bf,1,121
180,4441,2,Bf,1,17
87,4442,1,Bf,0,24
10,4443,1,Bf,0,47
77,4444,1,Bf,0,56
138,4445,2,Bf,1,2
116,4446,1,Bf,1,17
115,4447,2,Bf,1,40
150,4448,1,Bf,1,3
153,4448,1,Bf,1,10
180,4449,1,Bf,1,99
112,4450,1,Bf,1,37
125,4450,1,Bf,1,4
132,4450,1,Bf,1,134
168,4450,1,Bf,1,105
138,4451,1,Bf,1,5
180,4452,1,Bf,1,1
171,4453,1,Bf,1,9
168,4454,1,Bf,1,74
91,4455,1,Bf,0,16
126,4456,1,Bf,1,5
6,4457,1,Bf,0,2
180,4458,1,Bf,1,38
150,4459,1,Bf,1,13
142,4460,1,Bf,1,54
82,4461,1,Bf,0,5
56,4462,1,Bf,0,104
6,4463,1,Bf,0,115
10,4463,1,Bf,0,2
18,4463,1,Bf,0,41
19,4463,1,Bf,0,10
20,4463,1,Bf,0,40
25,4463,1,Bf,0,24
27,4463,1,Bf,0,11
29,4463,1,Bf,0,7
30,4463,1,Bf,0,46
31,4463,1,Bf,0,2
32,4463,1,Bf,0,21
37,4463,1,Bf,0,23
42,4463,1,Bf,0,6
44,4463,1,Bf,0,25
46,4463,1,Bf,0,17
49,4463,1,Bf,0,44
55,4463,1,Bf,0,4
59,4463,1,Bf,0,15
65,4463,1,Bf,0,85
70,4463,1,Bf,0,111
72,4463,2,Bf,0,35
77,4463,1,Bf,0,8
78,4463,1,Bf,0,7
81,4463,2,Bf,0,7
83,4463,1,Bf,0,10
87,4463,1,Bf,0,61
89,4463,1,Bf,0,8
91,4463,1,Bf,0,6
56,4464,1,Bf,0,8
160,4465,1,Bf,1,5
32,4466,1,Bf,0,21
171,4467,1,Bf,1,2
80,4468,1,Bf,0,69
11,4469,1,Bf,0,15
14,4469,1,Bf,0,6
26,4469,1,Bf,0,2
33,4469,1,Bf,0,32
36,4469,1,Bf,0,3
158,4469,1,Bf,1,290
159,4469,1,Bf,1,7
160,4469,1,Bf,1,17
161,4469,1,Bf,1,19
164,4469,1,Bf,1,28
165,4469,1,Bf,1,196
166,4469,1,Bf,1,12
170,4469,1,Bf,1,36
174,4469,1,Bf,1,29
175,4469,1,Bf,1,36
177,4469,1,Bf,1,17
178,4469,1,Bf,1,50
182,4469,1,Bf,1,4
150,4470,1,Bf,1,1
6,4471,2,Bf,0,143
10,4471,2,Bf,0,89
15,4471,1,Bf,0,14
41,4471,1,Bf,0,8
42,4471,1,Bf,0,182
93,4472,4,Bf,1,10
140,4472,2,Bf,1,69
180,4472,4,Bf,1,110
124,4473,1,Bf,1,7
180,4474,1,Bf,1,92
19,4475,1,Bf,0,31
140,4476,1,Bf,1,134
180,4476,1,Bf,1,12
53,4477,1,Bf,0,1
60,4477,1,Bf,0,165
103,4477,1,Bf,1,10
135,4477,1,Bf,1,3
32,4478,1,Bf,0,2
83,4478,1,Bf,0,23
87,4478,1,Bf,0,57
93,4479,1,Bf,1,13
96,4479,1,Bf,1,11
100,4479,1,Bf,1,81
171,4479,1,Bf,1,2
93,4480,1,Bf,1,95
89,4481,1,Bf,0,28
68,4482,1,Bf,0,3
173,4483,1,Bf,1,126
180,4483,1,Bf,1,2
142,4484,1,Bf,1,143
72,4485,1,Bf,0,5
140,4486,1,Bf,1,46
87,4487,1,Bf,0,70
150,4488,1,Bf,1,17
151,4488,1,Bf,1,13
154,4488,1,Bf,1,80
84,4489,1,Bf,0,8
93,4489,1,Bf,1,131
115,4489,1,Bf,1,3
126,4489,1,Bf,1,155
140,4489,1,Bf,1,30
124,4490,1,Bf,1,5
6,4491,1,Bf,0,170
56,4492,1,Bf,0,136
31,4493,2,Bf,0,122
59,4493,1,Bf,0,6
72,4493,1,Bf,0,134
140,4494,1,Bf,1,7
44,4495,1,Bf,0,2
5,4496,1,Bf,0,19
41,4496,1,Bf,0,82
72,4497,1,Bf,0,24
171,4498,1,Bf,1,68
180,4498,1,Bf,1,18
171,4499,1,Bf,1,99
45,4500,1,Bf,0,58
72,4501,1,Bf,0,6
42,4502,1,Bf,0,3
113,4503,1,Bf,1,71
32,4504,2,Bf,0,14
180,4505,1,Bf,1,27
91,4506,1,Bf,0,128
168,4507,1,Bf,1,3
56,4508,1,Bf,0,18
72,4509,1,Bf,0,54
72,4510,1,Bf,0,3
56,4511,1,Bf,0,1
32,4512,3,Bf,0,6
140,4513,1,Bf,1,30
153,4514,1,Bf,1,17
32,4515,1,Bf,0,137
143,4516,1,Bf,1,8
153,4517,1,Bf,1,11
32,4518,1,Bf,0,6
23,4519,1,Bf,0,26
45,4519,1,Bf,0,99
64,4519,1,Bf,0,14
6,4520,1,Bf,0,77
168,4521,1,Bf,1,52
180,4521,1,Bf,1,22
42,4522,1,Bf,0,5
6,4523,1,Bf,0,3
45,4523,2,Bf,0,9
87,4524,1,Bf,0,3
126,4525,1,Bf,1,9
8,4526,1,Bf,0,7
43,4526,1,Bf,0,3
45,4526,1,Bf,0,108
96,4526,1,Bf,1,305
100,4526,1,Bf,1,6
122,4526,2,Bf,1,61
125,4526,1,Bf,1,9
72,4527,1,Bf,0,67
45,4528,1,Bf,0,7
95,4529,1,Bf,1,2
140,4530,1,Bf,1,14
153,4531,1,Bf,1,1
87,4532,1,Bf,0,27
91,4533,1,Bf,0,4
153,4534,1,Bf,1,1
87,4535,1,Bf,0,12
95,4536,1,Bf,1,13
140,4536,1,Bf,1,32
52,4537,1,Bf,0,74
93,4538,1,Bf,1,124
115,4538,2,Bf,1,8
140,4538,1,Bf,1,81
171,4538,1,Bf,1,3
32,4539,1,Bf,0,15
13,4540,1,Bf,0,12
126,4541,2,Bf,1,2
140,4541,1,Bf,1,2
150,4542,1,Bf,1,3
154,4542,1,Bf,1,138
155,4542,1,Bf,1,2
109,4543,1,Bf,1,125
162,4543,1,Bf,1,2
180,4543,2,Bf,1,75
150,4544,1,Bf,1,113
168,4545,1,Bf,1,108
140,4546,1,Bf,1,17
78,4547,1,Bf,0,24
153,4548,1,Bf,1,30
168,4549,1,Bf,1,1
169,4549,1,Bf,1,6
13,4550,1,Bf,0,5
58,4550,1,Bf,0,5
99,4550,1,Bf,1,24
112,4550,1,Bf,1,9
137,4550,1,Bf,1,20
143,4550,1,Bf,1,20
91,4551,1,Bf,0,153
115,4552,1,Bf,1,14
115,4553,2,Bf,1,12
153,4554,1,Bf,1,5
6,4555,1,Bf,0,20
32,4556,1,Bf,0,5
84,4556,1,Bf,0,20
168,4556,1,Bf,1,3
71,4557,1,Bf,0,608
180,4558,2,Bf,1,4
18,4559,1,Bf,0,7
6,4560,1,Bf,0,4
42,4561,1,Bf,0,5
153,4562,1,Bf,1,1
180,4563,1,Bf,1,4
45,4564,1,Bf,0,4
124,4565,1,Bf,1,16
138,4566,1,Bf,1,5
56,4567,1,Bf,0,6
93,4568,1,Bf,1,34
46,4569,1,Bf,0,12
72,4570,1,Bf,0,1
180,4570,1,Bf,1,5
180,4571,2,Bf,1,19
168,4572,1,Bf,1,2
180,4572,1,Bf,1,48
96,4573,1,Bf,1,97
122,4573,1,Bf,1,38
171,4573,1,Bf,1,31
171,4574,3,Bf,1,7
64,4575,1,Bf,0,113
87,4576,1,Bf,0,9
168,4577,1,Bf,1,7
180,4577,2,Bf,1,15
120,4578,1,Bf,1,62
144,4578,1,Bf,1,96
109,4579,1,Bf,1,116
121,4580,1,Bf,1,1
140,4580,1,Bf,1,63
168,4580,1,Bf,1,82
180,4580,1,Bf,1,34
181,4581,1,Bf,1,1
32,4582,1,Bf,0,2
180,4582,1,Bf,1,1
181,4582,1,Bf,1,2
93,4583,1,Bf,1,105
168,4584,1,Bf,1,3
55,4585,1,Bf,0,11
42,4586,1,Bf,0,4
32,4587,1,Bf,0,134
140,4588,1,Bf,1,27
180,4589,1,Bf,1,9
34,4590,1,Bf,0,60
46,4590,1,Bf,0,5
50,4590,1,Bf,0,1
75,4590,1,Bf,0,135
153,4591,1,Bf,1,3
72,4592,1,Bf,0,1
180,4593,1,Bf,1,5
46,4594,1,Bf,0,15
93,4595,1,Bf,1,22
87,4596,1,Bf,0,15
72,4597,1,Bf,0,15
89,4598,1,Bf,0,8
127,4599,1,Bf,1,20
93,4600,1,Bf,1,103
140,4600,3,Bf,1,2
171,4600,1,Bf,1,10
138,4601,1,Bf,1,1
31,4602,1,Bf,0,42
87,4603,1,Bf,0,16
56,4604,1,Bf,0,7
115,4605,1,Bf,1,7
87,4606,1,Bf,0,15
45,4607,1,Bf,0,44
64,4607,1,Bf,0,88
140,4608,2,Bf,1,12
181,4608,1,Bf,1,10
168,4609,1,Bf,1,7
91,4610,1,Bf,0,47
46,4611,1,Bf,0,13
32,4612,1,Bf,0,759
124,4613,1,Bf,1,11
126,4614,2,Bf,1,53
10,4615,1,Bf,0,56
20,4616,1,Bf,0,139
99,4617,1,Bf,1,9
112,4617,1,Bf,1,5
171,4618,1,Bf,1,28
19,4619,1,Bf,0,51
32,4620,1,Bf,0,8
140,4621,1,Bf,1,1
6,4622,1,Bf,0,6
151,4622,1,Bf,1,10
152,4622,1,Bf,1,3
155,4622,1,Bf,1,116
56,4623,1,Bf,0,120
126,4624,1,Bf,1,16
45,4625,1,Bf,0,151
87,4626,1,Bf,0,2
124,4627,1,Bf,1,39
93,4628,1,Bf,1,10
168,4629,1,Bf,1,3
143,4630,1,Bf,1,46
180,4630,1,Bf,1,82
87,4631,1,Bf,0,8
180,4632,1,Bf,1,15
45,4633,2,Bf,0,31
93,4634,1,Bf,1,18
168,4634,1,Bf,1,3
18,4635,1,Bf,0,1
91,4636,1,Bf,0,43
180,4637,1,Bf,1,58
127,4638,1,Bf,1,4
93,4639,1,Bf,1,32
96,4639,1,Bf,1,1
126,4639,1,Bf,1,2
171,4639,1,Bf,1,29
87,4640,1,Bf,0,11
95,4641,2,Bf,1,8
140,4641,2,Bf,1,89
32,4642,1,Bf,0,2
6,4643,1,Bf,0,10
169,4644,1,Bf,1,13
95,4645,1,Bf,1,11
6,4646,1,Bf,0,4
59,4646,1,Bf,0,24
173,4646,1,Bf,1,11
93,4647,1,Bf,1,5
87,4648,1,Bf,0,40
32,4649,1,Bf,0,9
104,4650,1,Bf,1,5
130,4650,1,Bf,1,27
171,4650,1,Bf,1,164
153,4651,1,Bf,1,12
126,4652,1,Bf,1,14
56,4653,1,Bf,0,110
45,4654,1,Bf,0,2
17,4655,1,Bf,0,35
18,4656,1,Bf,0,56
87,4657,1,Bf,0,2
150,4657,1,Bf,1,379
72,4658,1,Bf,0,10
153,4659,1,Bf,1,22
168,4660,1,Bf,1,10
153,4661,1,Bf,1,8
58,4662,1,Bf,0,2
107,4663,1,Bf,1,64
182,4663,1,Bf,1,880
18,4664,1,Bf,0,20
6,4665,1,Bf,0,53
168,4666,1,Bf,1,139
45,4667,1,Bf,0,7
32,4668,1,Bf,0,1
91,4669,1,Bf,0,1
72,4670,1,Bf,0,36
153,4671,1,Bf,1,22
42,4672,1,Bf,0,17
153,4673,1,Bf,1,73
72,4674,1,Bf,0,5
93,4675,1,Bf,1,25
126,4675,2,Bf,1,42
140,4675,1,Bf,1,62
45,4676,4,Bf,0,14
180,4677,1,Bf,1,70
98,4678,1,Bf,1,20
106,4678,1,Bf,1,5
32,4679,1,Bf,0,12
93,4679,1,Bf,1,48
127,4679,2,Bf,1,118
135,4680,1,Bf,1,34
151,4680,1,Bf,1,98
56,4681,1,Bf,0,10
91,4682,1,Bf,0,20
154,4683,1,Bf,1,559
91,4684,1,Bf,0,138
150,4685,1,Bf,1,33
154,4685,1,Bf,1,121
32,4686,1,Bf,0,1
72,4687,2,Bf,0,8
127,4688,1,Bf,1,3
10,4689,1,Bf,0,3
72,4690,1,Bf,0,14
122,4691,1,Bf,1,200
115,4692,1,Bf,1,33
98,4693,1,Bf,1,2
106,4693,1,Bf,1,37
109,4693,1,Bf,1,108
78,4694,1,Bf,0,90
153,4695,1,Bf,1,2
125,4696,1,Bf,1,2
153,4697,1,Bf,1,10
180,4698,1,Bf,1,2
6,4699,1,Bf,0,8
140,4699,1,Bf,1,63
76,4700,1,Bf,0,146
153,4701,1,Bf,1,1
153,4702,1,Bf,1,93
32,4703,1,Bf,0,31
87,4704,1,Bf,0,14
93,4705,1,Bf,1,52
115,4705,2,Bf,1,13
141,4705,1,Bf,1,25
171,4705,1,Bf,1,46
32,4706,1,Bf,0,19
35,4707,1,Bf,0,2
72,4708,1,Bf,0,55
126,4708,1,Bf,1,34
140,4708,1,Bf,1,1
180,4708,1,Bf,1,2
93,4709,1,Bf,1,32
138,4709,1,Bf,1,6
147,4709,1,Bf,1,150
153,4710,1,Bf,1,9
91,4711,1,Bf,0,86
45,4712,1,Bf,0,3
91,4713,1,Bf,0,2
138,4714,1,Bf,1,148
181,4714,1,Bf,1,77
45,4715,1,Bf,0,16
153,4716,1,Bf,1,1
42,4717,1,Bf,0,205
46,4717,1,Bf,0,34
95,4718,1,Bf,1,8
138,4718,1,Bf,1,5
32,4719,1,Bf,0,1
115,4720,1,Bf,1,24
122,4720,1,Bf,1,9
123,4720,1,Bf,1,4
128,4720,1,Bf,1,65
136,4720,1,Bf,1,6
139,4720,1,Bf,1,1
140,4720,1,Bf,1,9
143,4720,1,Bf,1,3
145,4720,1,Bf,1,6
168,4721,1,Bf,1,11
180,4721,3,Bf,1,12
138,4722,1,Bf,1,3
140,4722,1,Bf,1,113
180,4722,1,Bf,1,103
91,4723,1,Bf,0,1
42,4724,1,Bf,0,1147
46,4725,1,Bf,0,3
142,4726,1,Bf,1,8
42,4727,1,Bf,0,8
6,4728,1,Bf,0,15
169,4729,1,Bf,1,5
23,4730,1,Bf,0,6
45,4730,1,Bf,0,19
57,4730,1,Bf,0,10
64,4730,1,Bf,0,81
66,4730,1,Bf,0,95
73,4730,1,Bf,0,56
140,4731,1,Bf,1,17
32,4732,1,Bf,0,1
122,4732,1,Bf,1,139
3,4733,1,Bf,0,6
5,4733,1,Bf,0,10
7,4733,1,Bf,0,7
9,4733,1,Bf,0,4
17,4733,1,Bf,0,64
34,4733,1,Bf,0,175
42,4733,2,Bf,0,180
51,4733,1,Bf,0,90
57,4733,1,Bf,0,3
71,4733,1,Bf,0,25
73,4733,1,Bf,0,1
80,4733,1,Bf,0,37
85,4733,1,Bf,0,66
86,4733,1,Bf,0,19
121,4734,1,Bf,1,14
126,4734,1,Bf,1,24
180,4734,1,Bf,1,127
87,4735,1,Bf,0,7
140,4736,1,Bf,1,3
23,4737,1,Bf,0,37
68,4738,2,Bf,0,56
50,4739,1,Bf,0,22
17,4740,1,Bf,0,20
180,4741,1,Bf,1,1
27,4742,1,Bf,0,4
95,4743,1,Bf,1,8
110,4743,1,Bf,1,85
124,4743,1,Bf,1,36
168,4743,1,Bf,1,3
181,4744,1,Bf,1,1
101,4745,1,Bf,1,8
171,4745,1,Bf,1,18
141,4746,1,Bf,1,10
93,4747,2,Bf,1,1
140,4747,3,Bf,1,4
110,4748,1,Bf,1,54
82,4749,1,Bf,0,2
140,4750,1,Bf,1,30
98,4751,1,Bf,1,7
106,4751,1,Bf,1,3
180,4751,1,Bf,1,52
95,4752,1,Bf,1,1
109,4752,1,Bf,1,10
93,4753,1,Bf,1,6
87,4754,1,Bf,0,18
91,4754,1,Bf,0,109
15,4755,1,Bf,0,25
95,4756,1,Bf,1,25
98,4756,1,Bf,1,21
99,4756,1,Bf,1,16
106,4756,1,Bf,1,14
112,4756,1,Bf,1,1
168,4757,1,Bf,1,2
171,4757,1,Bf,1,65
32,4758,1,Bf,0,62
89,4759,1,Bf,0,25
45,4760,1,Bf,0,1
181,4761,1,Bf,1,44
153,4762,1,Bf,1,5
127,4763,1,Bf,1,16
13,4764,1,Bf,0,2
153,4764,1,Bf,1,152
126,4765,1,Bf,1,33
180,4765,1,Bf,1,85
180,4766,1,Bf,1,11
93,4767,1,Bf,1,1
174,4767,1,Bf,1,1
45,4768,1,Bf,0,20
136,4769,1,Bf,1,43
45,4770,1,Bf,0,4
87,4771,1,Bf,0,26
46,4772,1,Bf,0,1
10,4773,1,Bf,0,1
64,4773,1,Bf,0,14
72,4773,1,Bf,0,6
45,4774,1,Bf,0,1
87,4775,1,Bf,0,48
91,4776,1,Bf,0,1
142,4777,1,Bf,1,13
140,4778,1,Bf,1,10
150,4778,2,Bf,1,131
52,4779,1,Bf,0,105
45,4780,1,Bf,0,2
115,4781,1,Bf,1,38
140,4781,1,Bf,1,1
168,4781,1,Bf,1,7
169,4781,1,Bf,1,155
171,4781,1,Bf,1,97
180,4781,1,Bf,1,66
89,4782,1,Bf,0,588
134,4782,1,Bf,1,2
180,4782,1,Bf,1,13
45,4783,1,Bf,0,9
6,4784,1,Bf,0,1
124,4785,1,Bf,1,313
6,4786,1,Bf,0,1
181,4787,1,Bf,1,11
181,4788,1,Bf,1,111
150,4789,1,Bf,1,9
168,4790,1,Bf,1,7
162,4791,1,Bf,1,1
42,4792,1,Bf,0,2
171,4793,1,Bf,1,1
171,4794,1,Bf,1,76
40,4795,1,Bf,0,2
91,4796,1,Bf,0,5
126,4797,1,Bf,1,24
138,4797,2,Bf,1,1
153,4798,1,Bf,1,11
42,4799,2,Bf,0,2
75,4799,2,Bf,0,27
85,4800,1,Bf,0,24
87,4800,1,Bf,0,8
169,4801,1,Bf,1,1
6,4802,3,Bf,0,20
13,4802,3,Bf,0,7
89,4802,1,Bf,0,9
180,4803,1,Bf,1,13
13,4804,1,Bf,0,34
142,4805,1,Bf,1,1
87,4806,1,Bf,0,18
127,4807,1,Bf,1,20
93,4808,1,Bf,1,85
57,4809,1,Bf,0,11
153,4810,1,Bf,1,110
45,4811,1,Bf,0,15
168,4812,1,Bf,1,1
180,4812,1,Bf,1,417
56,4813,1,Bf,0,149
153,4814,1,Bf,1,138
42,4815,1,Bf,0,60
87,4815,1,Bf,0,165
23,4816,1,Bf,0,30
64,4816,1,Bf,0,25
66,4816,1,Bf,0,3
16,4817,1,Bf,0,7
87,4818,1,Bf,0,4
82,4819,1,Bf,0,5
42,4820,1,Bf,0,6
180,4821,1,Bf,1,6
104,4822,1,Bf,1,33
130,4822,1,Bf,1,15
140,4822,1,Bf,1,6
171,4822,1,Bf,1,98
143,4823,1,Bf,1,1
55,4824,1,Bf,0,2
32,4825,1,Bf,0,23
18,4826,1,Bf,0,6
153,4827,1,Bf,1,42
11,4828,1,Bf,0,121
14,4828,1,Bf,0,703
26,4828,1,Bf,0,27
33,4828,1,Bf,0,120
36,4828,1,Bf,0,3
158,4828,1,Bf,1,72
159,4828,1,Bf,1,7
160,4828,1,Bf,1,14
161,4828,1,Bf,1,107
164,4828,1,Bf,1,4
165,4828,1,Bf,1,47
166,4828,1,Bf,1,19
170,4828,1,Bf,1,31
174,4828,1,Bf,1,25
175,4828,1,Bf,1,193
177,4828,1,Bf,1,12
178,4828,1,Bf,1,143
179,4828,1,Bf,1,22
182,4828,1,Bf,1,4
56,4829,1,Bf,0,154
180,4830,1,Bf,1,173
127,4831,1,Bf,1,39
32,4832,1,Bf,0,2
140,4833,1,Bf,1,38
125,4834,1,Bf,1,42
127,4835,1,Bf,1,5
56,4836,1,Bf,0,4
51,4837,1,Bf,0,108
112,4838,1,Bf,1,3
181,4839,1,Bf,1,59
148,4840,1,Bf,1,10
168,4841,2,Bf,1,6
32,4842,1,Bf,0,15
3,4843,1,Bf,0,8
5,4843,1,Bf,0,40
7,4843,1,Bf,0,1
9,4843,1,Bf,0,68
34,4843,1,Bf,0,28
42,4843,2,Bf,0,12
51,4843,1,Bf,0,21
57,4843,1,Bf,0,584
71,4843,1,Bf,0,24
73,4843,1,Bf,0,34
80,4843,1,Bf,0,40
86,4843,1,Bf,0,23
80,4844,1,Bf,0,88
23,4845,1,Bf,0,1
45,4845,1,Bf,0,12
64,4845,1,Bf,0,42
140,4846,1,Bf,1,9
56,4847,1,Bf,0,7
150,4848,1,Bf,1,8
32,4849,1,Bf,0,18
95,4850,1,Bf,1,20
100,4851,1,Bf,1,5
180,4851,1,Bf,1,120
171,4852,1,Bf,1,3
154,4853,1,Bf,1,118
72,4854,1,Bf,0,19
31,4855,1,Bf,0,12
6,4856,1,Bf,0,7
151,4856,1,Bf,1,58
153,4856,1,Bf,1,32
91,4857,1,Bf,0,1
46,4858,1,Bf,0,73
95,4859,1,Bf,1,3
148,4859,1,Bf,1,16
127,4860,1,Bf,1,10
153,4861,1,Bf,1,48
115,4862,1,Bf,1,40
87,4863,1,Bf,0,5
45,4864,1,Bf,0,1
153,4865,1,Bf,1,3
32,4866,1,Bf,0,10
6,4867,1,Bf,0,92
162,4868,1,Bf,1,3
96,4869,1,Bf,1,21
100,4869,1,Bf,1,6
56,4870,1,Bf,0,5
80,4871,1,Bf,0,7
60,4872,1,Bf,0,5
114,4872,1,Bf,1,14
150,4872,1,Bf,1,76
157,4872,1,Bf,1,52
9,4873,1,Bf,0,9
42,4873,1,Bf,0,4
48,4873,1,Bf,0,5
80,4873,1,Bf,0,88
32,4874,1,Bf,0,21
98,4875,1,Bf,1,6
106,4875,1,Bf,1,102
95,4876,1,Bf,1,22
115,4877,1,Bf,1,7
180,4877,1,Bf,1,36
91,4878,1,Bf,0,129
114,4878,1,Bf,1,1
124,4878,1,Bf,1,1
82,4879,1,Bf,0,3
87,4880,1,Bf,0,208
82,4881,1,Bf,0,3
56,4882,1,Bf,0,1
153,4883,1,Bf,1,2
10,4884,1,Bf,0,18
77,4884,1,Bf,0,1
171,4885,1,Bf,1,1
141,4886,1,Bf,1,18
23,4887,1,Bf,0,99
45,4887,2,Bf,0,38
57,4887,1,Bf,0,48
64,4887,1,Bf,0,51
66,4887,1,Bf,0,113
73,4887,1,Bf,0,1
56,4888,1,Bf,0,1
168,4889,1,Bf,1,60
150,4890,1,Bf,1,8
29,4891,1,Bf,0,2
31,4891,1,Bf,0,136
42,4891,1,Bf,0,135
80,4891,1,Bf,0,125
87,4891,1,Bf,0,11
91,4891,1,Bf,0,3
126,4892,1,Bf,1,1
153,4893,1,Bf,1,81
151,4894,1,Bf,1,5
64,4895,1,Bf,0,21
93,4895,1,Bf,1,10
171,4895,1,Bf,1,6
91,4896,1,Bf,0,3
93,4897,1,Bf,1,10
56,4898,1,Bf,0,2
87,4899,1,Bf,0,245
105,4900,2,Bf,1,2
93,4901,1,Bf,1,15
126,4901,1,Bf,1,8
95,4902,1,Bf,1,2
169,4902,1,Bf,1,14
32,4903,2,Bf,0,13
105,4904,1,Bf,1,3
109,4904,1,Bf,1,59
112,4904,1,Bf,1,135
122,4904,1,Bf,1,7
147,4904,1,Bf,1,221
148,4904,1,Bf,1,1
90,4905,1,Bf,0,12
153,4905,1,Bf,1,11
43,4906,1,Bf,0,7
93,4906,2,Bf,1,41
153,4907,1,Bf,1,8
16,4908,1,Bf,0,8
64,4909,1,Bf,0,14
45,4910,2,Bf,0,109
153,4911,1,Bf,1,84
140,4912,1,Bf,1,7
91,4913,1,Bf,0,46
56,4914,1,Bf,0,76
32,4915,1,Bf,0,19
87,4916,1,Bf,0,3
151,4917,1,Bf,1,38
153,4917,1,Bf,1,18
56,4918,1,Bf,0,22
87,4919,1,Bf,0,7
150,4920,1,Bf,1,42
42,4921,1,Bf,0,17
72,4921,1,Bf,0,4
93,4922,1,Bf,1,10
169,4923,1,Bf,1,54
180,4923,1,Bf,1,203
45,4924,1,Bf,0,23
87,4925,1,Bf,0,15
6,4926,1,Bf,0,146
168,4927,1,Bf,1,6
82,4928,1,Bf,0,12
42,4929,1,Bf,0,1
17,4930,1,Bf,0,14
51,4930,1,Bf,0,42
45,4931,1,Bf,0,5
32,4932,1,Bf,0,16
140,4933,1,Bf,1,9
46,4934,1,Bf,0,12
127,4935,1,Bf,1,1
110,4936,1,Bf,1,7
2,4937,2,Bf,0,15
5,4937,1,Bf,0,75
9,4937,1,Bf,0,18
42,4937,2,Bf,0,4
66,4937,1,Bf,0,4
72,4937,1,Bf,0,1
45,4938,1,Bf,0,1
72,4939,1,Bf,0,21
95,4940,1,Bf,1,3
98,4941,1,Bf,1,5
106,4941,1,Bf,1,12
127,4942,1,Bf,1,1
32,4943,1,Bf,0,10
154,4944,1,Bf,1,61
6,4945,1,Bf,0,2
91,4946,1,Bf,0,154
45,4947,1,Bf,0,12
95,4948,3,Bf,1,2
100,4948,1,Bf,1,10
112,4948,1,Bf,1,1
113,4948,1,Bf,1,24
126,4948,1,Bf,1,60
159,4948,1,Bf,1,1
161,4948,1,Bf,1,43
169,4948,1,Bf,1,16
181,4948,1,Bf,1,1
32,4949,1,Bf,0,1
87,4950,1,Bf,0,2
23,4951,1,Bf,0,108
153,4952,1,Bf,1,84
89,4953,1,Bf,0,24
109,4954,1,Bf,1,28
6,4955,1,Bf,0,60
46,4956,1,Bf,0,8
87,4957,2,Bf,0,46
110,4958,1,Bf,1,33
171,4959,1,Bf,1,5
2,4960,1,Bf,0,24
3,4960,1,Bf,0,11
5,4960,1,Bf,0,5
7,4960,1,Bf,0,10
17,4960,1,Bf,0,94
34,4960,1,Bf,0,29
42,4960,2,Bf,0,216
50,4960,1,Bf,0,30
51,4960,1,Bf,0,94
57,4960,1,Bf,0,22
66,4960,1,Bf,0,5
71,4960,1,Bf,0,11
73,4960,1,Bf,0,147
85,4960,1,Bf,0,4
86,4960,1,Bf,0,136
72,4961,1,Bf,0,22
115,4962,1,Bf,1,14
45,4963,1,Bf,0,106
98,4964,1,Bf,1,32
106,4964,1,Bf,1,13
151,4965,1,Bf,1,269
124,4966,1,Bf,1,95
10,4967,1,Bf,0,1
72,4968,1,Bf,0,11
168,4969,2,Bf,1,9
180,4969,2,Bf,1,5
32,4970,1,Bf,0,7
45,4971,1,Bf,0,1
124,4972,1,Bf,1,157
153,4972,1,Bf,1,3
91,4973,1,Bf,0,6
181,4974,1,Bf,1,1
6,4975,1,Bf,0,2
168,4976,1,Bf,1,2
180,4976,2,Bf,1,12
168,4977,1,Bf,1,9
180,4977,1,Bf,1,9
32,4978,1,Bf,0,26
71,4979,1,Bf,0,2
6,4980,1,Bf,0,5
168,4981,1,Bf,1,34
99,4982,1,Bf,1,174
105,4982,2,Bf,1,1
109,4982,1,Bf,1,196
116,4982,1,Bf,1,2
98,4983,1,Bf,1,111
106,4983,1,Bf,1,17
150,4984,1,Bf,1,17
32,4985,1,Bf,0,14
77,4985,1,Bf,0,42
181,4985,1,Bf,1,111
109,4986,1,Bf,1,6
10,4987,1,Bf,0,25
125,4988,1,Bf,1,47
32,4989,1,Bf,0,1
93,4990,1,Bf,1,7
