news_no,user_no_x,news_spred_no,source,fake_news,followers_no,total_news_spread_no,news_weight
55,4585,1,Bf,0,11,41,0
42,4586,1,Bf,0,4,570,5
32,4587,1,Bf,0,134,1134,11
140,4588,1,Bf,1,27,1020,10
180,4589,1,Bf,1,9,1060,10
34,4590,1,Bf,0,60,84,0
46,4590,1,Bf,0,5,285,2
50,4590,1,Bf,0,1,67,0
75,4590,1,Bf,0,135,26,0
153,4591,1,Bf,1,3,935,9
72,4592,1,Bf,0,1,673,6
180,4593,1,Bf,1,5,1060,10
46,4594,1,Bf,0,15,285,2
93,4595,1,Bf,1,22,708,7
87,4596,1,Bf,0,15,754,7
72,4597,1,Bf,0,15,673,6
89,4598,1,Bf,0,8,265,2
127,4599,1,Bf,1,20,366,3
93,4600,1,Bf,1,103,708,7
140,4600,3,Bf,1,2,1020,10
171,4600,1,Bf,1,10,511,5
138,4601,1,Bf,1,1,338,3
31,4602,1,Bf,0,42,53,0
87,4603,1,Bf,0,16,754,7
56,4604,1,Bf,0,7,278,2
115,4605,1,Bf,1,7,217,2
87,4606,1,Bf,0,15,754,7
45,4607,1,Bf,0,44,1197,11
64,4607,1,Bf,0,88,333,3
140,4608,2,Bf,1,12,1020,10
181,4608,1,Bf,1,10,382,3
168,4609,1,Bf,1,7,678,6
91,4610,1,Bf,0,47,589,5
46,4611,1,Bf,0,13,285,2
32,4612,1,Bf,0,759,1134,11
124,4613,1,Bf,1,11,228,2
126,4614,2,Bf,1,53,390,3
10,4615,1,Bf,0,56,232,2
20,4616,1,Bf,0,139,19,0
99,4617,1,Bf,1,9,20,0
112,4617,1,Bf,1,5,89,0
171,4618,1,Bf,1,28,511,5
19,4619,1,Bf,0,51,38,0
32,4620,1,Bf,0,8,1134,11
140,4621,1,Bf,1,1,1020,10
6,4622,1,Bf,0,6,477,4
151,4622,1,Bf,1,10,156,1
152,4622,1,Bf,1,3,36,0
155,4622,1,Bf,1,116,61,0
56,4623,1,Bf,0,120,278,2
126,4624,1,Bf,1,16,390,3
45,4625,1,Bf,0,151,1197,11
87,4626,1,Bf,0,2,754,7
124,4627,1,Bf,1,39,228,2
93,4628,1,Bf,1,10,708,7
168,4629,1,Bf,1,3,678,6
143,4630,1,Bf,1,46,73,0
180,4630,1,Bf,1,82,1060,10
87,4631,1,Bf,0,8,754,7
180,4632,1,Bf,1,15,1060,10
45,4633,2,Bf,0,31,1197,11
93,4634,1,Bf,1,18,708,7
168,4634,1,Bf,1,3,678,6
18,4635,1,Bf,0,1,142,1
91,4636,1,Bf,0,43,589,5
180,4637,1,Bf,1,58,1060,10
127,4638,1,Bf,1,4,366,3
93,4639,1,Bf,1,32,708,7
96,4639,1,Bf,1,1,45,0
126,4639,1,Bf,1,2,390,3
171,4639,1,Bf,1,29,511,5
87,4640,1,Bf,0,11,754,7
95,4641,2,Bf,1,8,439,4
140,4641,2,Bf,1,89,1020,10
32,4642,1,Bf,0,2,1134,11
6,4643,1,Bf,0,10,477,4
169,4644,1,Bf,1,13,205,2
95,4645,1,Bf,1,11,439,4
6,4646,1,Bf,0,4,477,4
59,4646,1,Bf,0,24,15,0
173,4646,1,Bf,1,11,46,0
93,4647,1,Bf,1,5,708,7
87,4648,1,Bf,0,40,754,7
32,4649,1,Bf,0,9,1134,11
104,4650,1,Bf,1,5,42,0
130,4650,1,Bf,1,27,42,0
171,4650,1,Bf,1,164,511,5
153,4651,1,Bf,1,12,935,9
126,4652,1,Bf,1,14,390,3
56,4653,1,Bf,0,110,278,2
45,4654,1,Bf,0,2,1197,11
17,4655,1,Bf,0,35,155,1
18,4656,1,Bf,0,56,142,1
87,4657,1,Bf,0,2,754,7
150,4657,1,Bf,1,379,322,3
72,4658,1,Bf,0,10,673,6
153,4659,1,Bf,1,22,935,9
168,4660,1,Bf,1,10,678,6
153,4661,1,Bf,1,8,935,9
58,4662,1,Bf,0,2,63,0
107,4663,1,Bf,1,64,48,0
182,4663,1,Bf,1,880,18,0
18,4664,1,Bf,0,20,142,1
6,4665,1,Bf,0,53,477,4
168,4666,1,Bf,1,139,678,6
45,4667,1,Bf,0,7,1197,11
32,4668,1,Bf,0,1,1134,11
91,4669,1,Bf,0,1,589,5
72,4670,1,Bf,0,36,673,6
153,4671,1,Bf,1,22,935,9
42,4672,1,Bf,0,17,570,5
153,4673,1,Bf,1,73,935,9
72,4674,1,Bf,0,5,673,6
93,4675,1,Bf,1,25,708,7
126,4675,2,Bf,1,42,390,3
140,4675,1,Bf,1,62,1020,10
45,4676,4,Bf,0,14,1197,11
180,4677,1,Bf,1,70,1060,10
98,4678,1,Bf,1,20,142,1
106,4678,1,Bf,1,5,142,1
32,4679,1,Bf,0,12,1134,11
93,4679,1,Bf,1,48,708,7
127,4679,2,Bf,1,118,366,3
135,4680,1,Bf,1,34,49,0
151,4680,1,Bf,1,98,156,1
56,4681,1,Bf,0,10,278,2
91,4682,1,Bf,0,20,589,5
154,4683,1,Bf,1,559,128,1
91,4684,1,Bf,0,138,589,5
150,4685,1,Bf,1,33,322,3
154,4685,1,Bf,1,121,128,1
32,4686,1,Bf,0,1,1134,11
72,4687,2,Bf,0,8,673,6
127,4688,1,Bf,1,3,366,3
10,4689,1,Bf,0,3,232,2
72,4690,1,Bf,0,14,673,6
122,4691,1,Bf,1,200,167,1
115,4692,1,Bf,1,33,217,2
98,4693,1,Bf,1,2,142,1
106,4693,1,Bf,1,37,142,1
109,4693,1,Bf,1,108,192,1
78,4694,1,Bf,0,90,83,0
153,4695,1,Bf,1,2,935,9
125,4696,1,Bf,1,2,200,2
153,4697,1,Bf,1,10,935,9
180,4698,1,Bf,1,2,1060,10
6,4699,1,Bf,0,8,477,4
140,4699,1,Bf,1,63,1020,10
76,4700,1,Bf,0,146,20,0
153,4701,1,Bf,1,1,935,9
153,4702,1,Bf,1,93,935,9
32,4703,1,Bf,0,31,1134,11
87,4704,1,Bf,0,14,754,7
93,4705,1,Bf,1,52,708,7
115,4705,2,Bf,1,13,217,2
141,4705,1,Bf,1,25,118,1
171,4705,1,Bf,1,46,511,5
32,4706,1,Bf,0,19,1134,11
35,4707,1,Bf,0,2,14,0
72,4708,1,Bf,0,55,673,6
126,4708,1,Bf,1,34,390,3
140,4708,1,Bf,1,1,1020,10
180,4708,1,Bf,1,2,1060,10
93,4709,1,Bf,1,32,708,7
138,4709,1,Bf,1,6,338,3
147,4709,1,Bf,1,150,45,0
153,4710,1,Bf,1,9,935,9
91,4711,1,Bf,0,86,589,5
45,4712,1,Bf,0,3,1197,11
91,4713,1,Bf,0,2,589,5
138,4714,1,Bf,1,148,338,3
181,4714,1,Bf,1,77,382,3
45,4715,1,Bf,0,16,1197,11
153,4716,1,Bf,1,1,935,9
42,4717,1,Bf,0,205,570,5
46,4717,1,Bf,0,34,285,2
95,4718,1,Bf,1,8,439,4
138,4718,1,Bf,1,5,338,3
32,4719,1,Bf,0,1,1134,11
115,4720,1,Bf,1,24,217,2
122,4720,1,Bf,1,9,167,1
123,4720,1,Bf,1,4,2,0
128,4720,1,Bf,1,65,13,0
136,4720,1,Bf,1,6,84,0
139,4720,1,Bf,1,1,17,0
140,4720,1,Bf,1,9,1020,10
143,4720,1,Bf,1,3,73,0
145,4720,1,Bf,1,6,7,0
168,4721,1,Bf,1,11,678,6
180,4721,3,Bf,1,12,1060,10
138,4722,1,Bf,1,3,338,3
140,4722,1,Bf,1,113,1020,10
180,4722,1,Bf,1,103,1060,10
91,4723,1,Bf,0,1,589,5
42,4724,1,Bf,0,1147,570,5
46,4725,1,Bf,0,3,285,2
142,4726,1,Bf,1,8,246,2
42,4727,1,Bf,0,8,570,5
6,4728,1,Bf,0,15,477,4
169,4729,1,Bf,1,5,205,2
23,4730,1,Bf,0,6,274,2
45,4730,1,Bf,0,19,1197,11
57,4730,1,Bf,0,10,224,2
64,4730,1,Bf,0,81,333,3
66,4730,1,Bf,0,95,212,2
73,4730,1,Bf,0,56,216,2
140,4731,1,Bf,1,17,1020,10
32,4732,1,Bf,0,1,1134,11
122,4732,1,Bf,1,139,167,1
3,4733,1,Bf,0,6,56,0
5,4733,1,Bf,0,10,94,0
7,4733,1,Bf,0,7,82,0
9,4733,1,Bf,0,4,83,0
17,4733,1,Bf,0,64,155,1
34,4733,1,Bf,0,175,84,0
42,4733,2,Bf,0,180,570,5
51,4733,1,Bf,0,90,62,0
57,4733,1,Bf,0,3,224,2
71,4733,1,Bf,0,25,61,0
73,4733,1,Bf,0,1,216,2
80,4733,1,Bf,0,37,235,2
85,4733,1,Bf,0,66,46,0
86,4733,1,Bf,0,19,68,0
121,4734,1,Bf,1,14,78,0
126,4734,1,Bf,1,24,390,3
180,4734,1,Bf,1,127,1060,10
87,4735,1,Bf,0,7,754,7
140,4736,1,Bf,1,3,1020,10
23,4737,1,Bf,0,37,274,2
68,4738,2,Bf,0,56,70,0
50,4739,1,Bf,0,22,67,0
17,4740,1,Bf,0,20,155,1
180,4741,1,Bf,1,1,1060,10
27,4742,1,Bf,0,4,21,0
95,4743,1,Bf,1,8,439,4
110,4743,1,Bf,1,85,112,1
124,4743,1,Bf,1,36,228,2
168,4743,1,Bf,1,3,678,6
181,4744,1,Bf,1,1,382,3
101,4745,1,Bf,1,8,31,0
171,4745,1,Bf,1,18,511,5
141,4746,1,Bf,1,10,118,1
93,4747,2,Bf,1,1,708,7
140,4747,3,Bf,1,4,1020,10
110,4748,1,Bf,1,54,112,1
82,4749,1,Bf,0,2,105,1
140,4750,1,Bf,1,30,1020,10
98,4751,1,Bf,1,7,142,1
106,4751,1,Bf,1,3,142,1
180,4751,1,Bf,1,52,1060,10
95,4752,1,Bf,1,1,439,4
109,4752,1,Bf,1,10,192,1
93,4753,1,Bf,1,6,708,7
87,4754,1,Bf,0,18,754,7
91,4754,1,Bf,0,109,589,5
15,4755,1,Bf,0,25,72,0
95,4756,1,Bf,1,25,439,4
98,4756,1,Bf,1,21,142,1
99,4756,1,Bf,1,16,20,0
106,4756,1,Bf,1,14,142,1
112,4756,1,Bf,1,1,89,0
168,4757,1,Bf,1,2,678,6
171,4757,1,Bf,1,65,511,5
32,4758,1,Bf,0,62,1134,11
89,4759,1,Bf,0,25,265,2
45,4760,1,Bf,0,1,1197,11
181,4761,1,Bf,1,44,382,3
153,4762,1,Bf,1,5,935,9
127,4763,1,Bf,1,16,366,3
13,4764,1,Bf,0,2,260,2
153,4764,1,Bf,1,152,935,9
126,4765,1,Bf,1,33,390,3
180,4765,1,Bf,1,85,1060,10
180,4766,1,Bf,1,11,1060,10
93,4767,1,Bf,1,1,708,7
174,4767,1,Bf,1,1,22,0
45,4768,1,Bf,0,20,1197,11
136,4769,1,Bf,1,43,84,0
45,4770,1,Bf,0,4,1197,11
87,4771,1,Bf,0,26,754,7
46,4772,1,Bf,0,1,285,2
10,4773,1,Bf,0,1,232,2
64,4773,1,Bf,0,14,333,3
72,4773,1,Bf,0,6,673,6
45,4774,1,Bf,0,1,1197,11
87,4775,1,Bf,0,48,754,7
91,4776,1,Bf,0,1,589,5
142,4777,1,Bf,1,13,246,2
140,4778,1,Bf,1,10,1020,10
150,4778,2,Bf,1,131,322,3
52,4779,1,Bf,0,105,33,0
45,4780,1,Bf,0,2,1197,11
115,4781,1,Bf,1,38,217,2
140,4781,1,Bf,1,1,1020,10
168,4781,1,Bf,1,7,678,6
169,4781,1,Bf,1,155,205,2
171,4781,1,Bf,1,97,511,5
180,4781,1,Bf,1,66,1060,10
89,4782,1,Bf,0,588,265,2
134,4782,1,Bf,1,2,2,0
180,4782,1,Bf,1,13,1060,10
45,4783,1,Bf,0,9,1197,11
6,4784,1,Bf,0,1,477,4
124,4785,1,Bf,1,313,228,2
6,4786,1,Bf,0,1,477,4
181,4787,1,Bf,1,11,382,3
181,4788,1,Bf,1,111,382,3
150,4789,1,Bf,1,9,322,3
168,4790,1,Bf,1,7,678,6
162,4791,1,Bf,1,1,99,0
42,4792,1,Bf,0,2,570,5
171,4793,1,Bf,1,1,511,5
171,4794,1,Bf,1,76,511,5
40,4795,1,Bf,0,2,12,0
91,4796,1,Bf,0,5,589,5
126,4797,1,Bf,1,24,390,3
138,4797,2,Bf,1,1,338,3
153,4798,1,Bf,1,11,935,9
42,4799,2,Bf,0,2,570,5
75,4799,2,Bf,0,27,26,0
85,4800,1,Bf,0,24,46,0
87,4800,1,Bf,0,8,754,7
169,4801,1,Bf,1,1,205,2
6,4802,3,Bf,0,20,477,4
13,4802,3,Bf,0,7,260,2
89,4802,1,Bf,0,9,265,2
180,4803,1,Bf,1,13,1060,10
13,4804,1,Bf,0,34,260,2
142,4805,1,Bf,1,1,246,2
87,4806,1,Bf,0,18,754,7
127,4807,1,Bf,1,20,366,3
93,4808,1,Bf,1,85,708,7
57,4809,1,Bf,0,11,224,2
153,4810,1,Bf,1,110,935,9
45,4811,1,Bf,0,15,1197,11
168,4812,1,Bf,1,1,678,6
180,4812,1,Bf,1,417,1060,10
56,4813,1,Bf,0,149,278,2
153,4814,1,Bf,1,138,935,9
42,4815,1,Bf,0,60,570,5
87,4815,1,Bf,0,165,754,7
23,4816,1,Bf,0,30,274,2
64,4816,1,Bf,0,25,333,3
66,4816,1,Bf,0,3,212,2
16,4817,1,Bf,0,7,145,1
87,4818,1,Bf,0,4,754,7
82,4819,1,Bf,0,5,105,1
42,4820,1,Bf,0,6,570,5
180,4821,1,Bf,1,6,1060,10
104,4822,1,Bf,1,33,42,0
130,4822,1,Bf,1,15,42,0
140,4822,1,Bf,1,6,1020,10
171,4822,1,Bf,1,98,511,5
143,4823,1,Bf,1,1,73,0
55,4824,1,Bf,0,2,41,0
32,4825,1,Bf,0,23,1134,11
18,4826,1,Bf,0,6,142,1
153,4827,1,Bf,1,42,935,9
11,4828,1,Bf,0,121,11,0
14,4828,1,Bf,0,703,8,0
26,4828,1,Bf,0,27,10,0
33,4828,1,Bf,0,120,12,0
36,4828,1,Bf,0,3,8,0
158,4828,1,Bf,1,72,11,0
159,4828,1,Bf,1,7,13,0
160,4828,1,Bf,1,14,60,0
161,4828,1,Bf,1,107,12,0
164,4828,1,Bf,1,4,11,0
165,4828,1,Bf,1,47,8,0
166,4828,1,Bf,1,19,11,0
170,4828,1,Bf,1,31,9,0
174,4828,1,Bf,1,25,22,0
175,4828,1,Bf,1,193,41,0
177,4828,1,Bf,1,12,22,0
178,4828,1,Bf,1,143,9,0
179,4828,1,Bf,1,22,26,0
182,4828,1,Bf,1,4,18,0
56,4829,1,Bf,0,154,278,2
180,4830,1,Bf,1,173,1060,10
127,4831,1,Bf,1,39,366,3
32,4832,1,Bf,0,2,1134,11
140,4833,1,Bf,1,38,1020,10
125,4834,1,Bf,1,42,200,2
127,4835,1,Bf,1,5,366,3
56,4836,1,Bf,0,4,278,2
51,4837,1,Bf,0,108,62,0
112,4838,1,Bf,1,3,89,0
181,4839,1,Bf,1,59,382,3
148,4840,1,Bf,1,10,116,1
168,4841,2,Bf,1,6,678,6
32,4842,1,Bf,0,15,1134,11
3,4843,1,Bf,0,8,56,0
5,4843,1,Bf,0,40,94,0
7,4843,1,Bf,0,1,82,0
9,4843,1,Bf,0,68,83,0
34,4843,1,Bf,0,28,84,0
42,4843,2,Bf,0,12,570,5
51,4843,1,Bf,0,21,62,0
57,4843,1,Bf,0,584,224,2
71,4843,1,Bf,0,24,61,0
73,4843,1,Bf,0,34,216,2
80,4843,1,Bf,0,40,235,2
86,4843,1,Bf,0,23,68,0
80,4844,1,Bf,0,88,235,2
23,4845,1,Bf,0,1,274,2
45,4845,1,Bf,0,12,1197,11
64,4845,1,Bf,0,42,333,3
140,4846,1,Bf,1,9,1020,10
56,4847,1,Bf,0,7,278,2
150,4848,1,Bf,1,8,322,3
32,4849,1,Bf,0,18,1134,11
95,4850,1,Bf,1,20,439,4
100,4851,1,Bf,1,5,129,1
180,4851,1,Bf,1,120,1060,10
171,4852,1,Bf,1,3,511,5
154,4853,1,Bf,1,118,128,1
72,4854,1,Bf,0,19,673,6
31,4855,1,Bf,0,12,53,0
6,4856,1,Bf,0,7,477,4
151,4856,1,Bf,1,58,156,1
153,4856,1,Bf,1,32,935,9
91,4857,1,Bf,0,1,589,5
46,4858,1,Bf,0,73,285,2
95,4859,1,Bf,1,3,439,4
148,4859,1,Bf,1,16,116,1
127,4860,1,Bf,1,10,366,3
153,4861,1,Bf,1,48,935,9
115,4862,1,Bf,1,40,217,2
87,4863,1,Bf,0,5,754,7
45,4864,1,Bf,0,1,1197,11
153,4865,1,Bf,1,3,935,9
32,4866,1,Bf,0,10,1134,11
6,4867,1,Bf,0,92,477,4
162,4868,1,Bf,1,3,99,0
96,4869,1,Bf,1,21,45,0
100,4869,1,Bf,1,6,129,1
56,4870,1,Bf,0,5,278,2
80,4871,1,Bf,0,7,235,2
60,4872,1,Bf,0,5,12,0
114,4872,1,Bf,1,14,20,0
150,4872,1,Bf,1,76,322,3
157,4872,1,Bf,1,52,39,0
9,4873,1,Bf,0,9,83,0
42,4873,1,Bf,0,4,570,5
48,4873,1,Bf,0,5,45,0
80,4873,1,Bf,0,88,235,2
32,4874,1,Bf,0,21,1134,11
98,4875,1,Bf,1,6,142,1
106,4875,1,Bf,1,102,142,1
95,4876,1,Bf,1,22,439,4
115,4877,1,Bf,1,7,217,2
180,4877,1,Bf,1,36,1060,10
91,4878,1,Bf,0,129,589,5
114,4878,1,Bf,1,1,20,0
124,4878,1,Bf,1,1,228,2
82,4879,1,Bf,0,3,105,1
87,4880,1,Bf,0,208,754,7
82,4881,1,Bf,0,3,105,1
56,4882,1,Bf,0,1,278,2
153,4883,1,Bf,1,2,935,9
10,4884,1,Bf,0,18,232,2
77,4884,1,Bf,0,1,93,0
171,4885,1,Bf,1,1,511,5
141,4886,1,Bf,1,18,118,1
23,4887,1,Bf,0,99,274,2
45,4887,2,Bf,0,38,1197,11
57,4887,1,Bf,0,48,224,2
64,4887,1,Bf,0,51,333,3
66,4887,1,Bf,0,113,212,2
73,4887,1,Bf,0,1,216,2
56,4888,1,Bf,0,1,278,2
168,4889,1,Bf,1,60,678,6
150,4890,1,Bf,1,8,322,3
29,4891,1,Bf,0,2,44,0
31,4891,1,Bf,0,136,53,0
42,4891,1,Bf,0,135,570,5
80,4891,1,Bf,0,125,235,2
87,4891,1,Bf,0,11,754,7
91,4891,1,Bf,0,3,589,5
126,4892,1,Bf,1,1,390,3
153,4893,1,Bf,1,81,935,9
151,4894,1,Bf,1,5,156,1
64,4895,1,Bf,0,21,333,3
93,4895,1,Bf,1,10,708,7
171,4895,1,Bf,1,6,511,5
91,4896,1,Bf,0,3,589,5
93,4897,1,Bf,1,10,708,7
56,4898,1,Bf,0,2,278,2
87,4899,1,Bf,0,245,754,7
105,4900,2,Bf,1,2,111,1
93,4901,1,Bf,1,15,708,7
126,4901,1,Bf,1,8,390,3
95,4902,1,Bf,1,2,439,4
169,4902,1,Bf,1,14,205,2
32,4903,2,Bf,0,13,1134,11
105,4904,1,Bf,1,3,111,1
109,4904,1,Bf,1,59,192,1
112,4904,1,Bf,1,135,89,0
122,4904,1,Bf,1,7,167,1
147,4904,1,Bf,1,221,45,0
148,4904,1,Bf,1,1,116,1
90,4905,1,Bf,0,12,19,0
153,4905,1,Bf,1,11,935,9
43,4906,1,Bf,0,7,34,0
93,4906,2,Bf,1,41,708,7
153,4907,1,Bf,1,8,935,9
16,4908,1,Bf,0,8,145,1
64,4909,1,Bf,0,14,333,3
45,4910,2,Bf,0,109,1197,11
153,4911,1,Bf,1,84,935,9
140,4912,1,Bf,1,7,1020,10
91,4913,1,Bf,0,46,589,5
56,4914,1,Bf,0,76,278,2
32,4915,1,Bf,0,19,1134,11
87,4916,1,Bf,0,3,754,7
151,4917,1,Bf,1,38,156,1
153,4917,1,Bf,1,18,935,9
56,4918,1,Bf,0,22,278,2
87,4919,1,Bf,0,7,754,7
150,4920,1,Bf,1,42,322,3
42,4921,1,Bf,0,17,570,5
72,4921,1,Bf,0,4,673,6
93,4922,1,Bf,1,10,708,7
169,4923,1,Bf,1,54,205,2
180,4923,1,Bf,1,203,1060,10
45,4924,1,Bf,0,23,1197,11
87,4925,1,Bf,0,15,754,7
6,4926,1,Bf,0,146,477,4
168,4927,1,Bf,1,6,678,6
82,4928,1,Bf,0,12,105,1
42,4929,1,Bf,0,1,570,5
17,4930,1,Bf,0,14,155,1
51,4930,1,Bf,0,42,62,0
45,4931,1,Bf,0,5,1197,11
32,4932,1,Bf,0,16,1134,11
140,4933,1,Bf,1,9,1020,10
46,4934,1,Bf,0,12,285,2
127,4935,1,Bf,1,1,366,3
110,4936,1,Bf,1,7,112,1
2,4937,2,Bf,0,15,52,0
5,4937,1,Bf,0,75,94,0
9,4937,1,Bf,0,18,83,0
42,4937,2,Bf,0,4,570,5
66,4937,1,Bf,0,4,212,2
72,4937,1,Bf,0,1,673,6
45,4938,1,Bf,0,1,1197,11
72,4939,1,Bf,0,21,673,6
95,4940,1,Bf,1,3,439,4
98,4941,1,Bf,1,5,142,1
106,4941,1,Bf,1,12,142,1
127,4942,1,Bf,1,1,366,3
32,4943,1,Bf,0,10,1134,11
154,4944,1,Bf,1,61,128,1
6,4945,1,Bf,0,2,477,4
91,4946,1,Bf,0,154,589,5
45,4947,1,Bf,0,12,1197,11
95,4948,3,Bf,1,2,439,4
100,4948,1,Bf,1,10,129,1
112,4948,1,Bf,1,1,89,0
113,4948,1,Bf,1,24,128,1
126,4948,1,Bf,1,60,390,3
159,4948,1,Bf,1,1,13,0
161,4948,1,Bf,1,43,12,0
169,4948,1,Bf,1,16,205,2
181,4948,1,Bf,1,1,382,3
32,4949,1,Bf,0,1,1134,11
87,4950,1,Bf,0,2,754,7
23,4951,1,Bf,0,108,274,2
153,4952,1,Bf,1,84,935,9
89,4953,1,Bf,0,24,265,2
109,4954,1,Bf,1,28,192,1
6,4955,1,Bf,0,60,477,4
46,4956,1,Bf,0,8,285,2
87,4957,2,Bf,0,46,754,7
110,4958,1,Bf,1,33,112,1
171,4959,1,Bf,1,5,511,5
2,4960,1,Bf,0,24,52,0
3,4960,1,Bf,0,11,56,0
5,4960,1,Bf,0,5,94,0
7,4960,1,Bf,0,10,82,0
17,4960,1,Bf,0,94,155,1
34,4960,1,Bf,0,29,84,0
42,4960,2,Bf,0,216,570,5
50,4960,1,Bf,0,30,67,0
51,4960,1,Bf,0,94,62,0
57,4960,1,Bf,0,22,224,2
66,4960,1,Bf,0,5,212,2
71,4960,1,Bf,0,11,61,0
73,4960,1,Bf,0,147,216,2
85,4960,1,Bf,0,4,46,0
86,4960,1,Bf,0,136,68,0
72,4961,1,Bf,0,22,673,6
115,4962,1,Bf,1,14,217,2
45,4963,1,Bf,0,106,1197,11
98,4964,1,Bf,1,32,142,1
106,4964,1,Bf,1,13,142,1
151,4965,1,Bf,1,269,156,1
124,4966,1,Bf,1,95,228,2
10,4967,1,Bf,0,1,232,2
72,4968,1,Bf,0,11,673,6
168,4969,2,Bf,1,9,678,6
180,4969,2,Bf,1,5,1060,10
32,4970,1,Bf,0,7,1134,11
45,4971,1,Bf,0,1,1197,11
124,4972,1,Bf,1,157,228,2
153,4972,1,Bf,1,3,935,9
91,4973,1,Bf,0,6,589,5
181,4974,1,Bf,1,1,382,3
6,4975,1,Bf,0,2,477,4
168,4976,1,Bf,1,2,678,6
180,4976,2,Bf,1,12,1060,10
168,4977,1,Bf,1,9,678,6
180,4977,1,Bf,1,9,1060,10
32,4978,1,Bf,0,26,1134,11
71,4979,1,Bf,0,2,61,0
6,4980,1,Bf,0,5,477,4
168,4981,1,Bf,1,34,678,6
99,4982,1,Bf,1,174,20,0
105,4982,2,Bf,1,1,111,1
109,4982,1,Bf,1,196,192,1
116,4982,1,Bf,1,2,37,0
98,4983,1,Bf,1,111,142,1
106,4983,1,Bf,1,17,142,1
150,4984,1,Bf,1,17,322,3
32,4985,1,Bf,0,14,1134,11
77,4985,1,Bf,0,42,93,0
181,4985,1,Bf,1,111,382,3
109,4986,1,Bf,1,6,192,1
10,4987,1,Bf,0,25,232,2
125,4988,1,Bf,1,47,200,2
32,4989,1,Bf,0,1,1134,11
93,4990,1,Bf,1,7,708,7
98,4991,1,Bf,1,12,142,1
106,4991,1,Bf,1,2,142,1
100,4992,1,Bf,1,127,129,1
87,4993,1,Bf,0,2,754,7
180,4994,1,Bf,1,21,1060,10
6,4995,1,Bf,0,1,477,4
80,4996,1,Bf,0,4,235,2
10,4997,1,Bf,0,1,232,2
39,4997,1,Bf,0,29,4,0
93,4998,1,Bf,1,184,708,7
6,4999,1,Bf,0,1,477,4
168,5000,2,Bf,1,17,678,6
169,5000,1,Bf,1,245,205,2
181,5000,1,Bf,1,155,382,3
122,5001,1,Bf,1,7,167,1
160,5001,1,Bf,1,31,60,0
72,5002,8,Bf,0,60,673,6
93,5003,1,Bf,1,1,708,7
6,5004,1,Bf,0,13,477,4
153,5005,1,Bf,1,5,935,9
127,5006,1,Bf,1,21,366,3
93,5007,1,Bf,1,18,708,7
140,5007,1,Bf,1,8,1020,10
87,5008,1,Bf,0,1,754,7
95,5009,1,Bf,1,5,439,4
153,5010,1,Bf,1,1,935,9
32,5011,1,Bf,0,35,1134,11
45,5012,1,Bf,0,5,1197,11
126,5013,1,Bf,1,137,390,3
21,5014,1,Bf,0,5,84,0
140,5015,1,Bf,1,45,1020,10
32,5016,1,Bf,0,4,1134,11
180,5017,2,Bf,1,69,1060,10
95,5018,2,Bf,1,4,439,4
142,5018,1,Bf,1,2,246,2
64,5019,1,Bf,0,8,333,3
13,5020,1,Bf,0,71,260,2
23,5020,1,Bf,0,3,274,2
44,5020,1,Bf,0,2,99,0
45,5020,1,Bf,0,2,1197,11
57,5020,1,Bf,0,142,224,2
64,5020,1,Bf,0,2,333,3
66,5020,1,Bf,0,23,212,2
73,5020,1,Bf,0,26,216,2
72,5021,1,Bf,0,51,673,6
45,5022,1,Bf,0,15,1197,11
46,5023,1,Bf,0,2,285,2
126,5024,1,Bf,1,16,390,3
93,5025,1,Bf,1,46,708,7
32,5026,1,Bf,0,2,1134,11
32,5027,1,Bf,0,21,1134,11
45,5028,1,Bf,0,5,1197,11
87,5028,1,Bf,0,8,754,7
6,5029,1,Bf,0,7,477,4
91,5030,1,Bf,0,1,589,5
169,5031,1,Bf,1,20,205,2
18,5032,1,Bf,0,11,142,1
107,5033,1,Bf,1,4,48,0
181,5033,2,Bf,1,13,382,3
125,5034,1,Bf,1,11,200,2
32,5035,1,Bf,0,85,1134,11
153,5036,1,Bf,1,6,935,9
140,5037,1,Bf,1,3,1020,10
180,5038,1,Bf,1,92,1060,10
154,5039,1,Bf,1,2,128,1
32,5040,1,Bf,0,29,1134,11
140,5041,1,Bf,1,9,1020,10
46,5042,1,Bf,0,166,285,2
10,5043,1,Bf,0,15,232,2
115,5044,2,Bf,1,52,217,2
78,5045,1,Bf,0,14,83,0
83,5045,1,Bf,0,12,52,0
87,5046,1,Bf,0,14,754,7
18,5047,1,Bf,0,138,142,1
138,5048,1,Bf,1,3,338,3
23,5049,1,Bf,0,2,274,2
45,5049,1,Bf,0,24,1197,11
64,5049,1,Bf,0,1,333,3
180,5050,1,Bf,1,14,1060,10
3,5051,1,Bf,0,3,56,0
104,5052,1,Bf,1,61,42,0
130,5052,1,Bf,1,5,42,0
124,5053,1,Bf,1,10,228,2
140,5054,1,Bf,1,5,1020,10
115,5055,1,Bf,1,6,217,2
169,5055,1,Bf,1,11,205,2
72,5056,1,Bf,0,118,673,6
45,5057,3,Bf,0,8,1197,11
18,5058,1,Bf,0,146,142,1
87,5059,1,Bf,0,41,754,7
32,5060,1,Bf,0,112,1134,11
115,5061,1,Bf,1,2,217,2
42,5062,2,Bf,0,9,570,5
80,5062,1,Bf,0,5,235,2
155,5062,1,Bf,1,8,61,0
87,5063,1,Bf,0,161,754,7
