news_no,user_no,user_spread_news_no_times,user_number_of_followers,following_accounts_number,fake_news,news_total_spread_no,user_total_fake_news_spread,user_total_news_spread,user_total_real_news_spread,user_total_probability_sharing_fake_news,user_total_probability_sharing_real_news
165,4828,1,1,1,1,10,14,19,5,0.74,0.26
166,4828,1,1,1,1,12,14,19,5,0.74,0.26
170,4828,1,1,1,1,9,14,19,5,0.74,0.26
174,4828,1,1,1,1,24,14,19,5,0.74,0.26
175,4828,1,1,1,1,42,14,19,5,0.74,0.26
177,4828,1,1,1,1,25,14,19,5,0.74,0.26
178,4828,1,1,1,1,10,14,19,5,0.74,0.26
179,4828,1,1,1,1,28,14,19,5,0.74,0.26
182,4828,1,1,1,1,18,14,19,5,0.74,0.26
56,4829,1,1,0,0,306,0,1,1,0.0,1.0
180,4830,1,45,127,1,1214,1,1,0,1.0,0.0
127,4831,1,77,33,1,379,1,1,0,1.0,0.0
32,4832,1,5,3,0,1228,0,1,1,0.0,1.0
140,4833,1,96,97,1,1193,1,1,0,1.0,0.0
125,4834,1,17,3,1,212,1,1,0,1.0,0.0
127,4835,1,13,0,1,379,1,1,0,1.0,0.0
56,4836,1,4,0,0,306,0,1,1,0.0,1.0
51,4837,1,13,12,0,68,0,1,1,0.0,1.0
112,4838,1,7,4,1,89,1,1,0,1.0,0.0
181,4839,1,0,3,1,412,1,1,0,1.0,0.0
148,4840,1,32,62,1,127,1,1,0,1.0,0.0
168,4841,2,3,1,1,744,2,2,0,1.0,0.0
32,4842,1,36,31,0,1228,0,1,1,0.0,1.0
3,4843,1,9,1,0,59,0,13,13,0.0,1.0
5,4843,1,9,1,0,100,0,13,13,0.0,1.0
7,4843,1,9,1,0,87,0,13,13,0.0,1.0
9,4843,1,9,1,0,95,0,13,13,0.0,1.0
34,4843,1,9,1,0,90,0,13,13,0.0,1.0
42,4843,2,9,1,0,735,0,13,13,0.0,1.0
51,4843,1,9,1,0,68,0,13,13,0.0,1.0
57,4843,1,9,1,0,232,0,13,13,0.0,1.0
71,4843,1,9,1,0,64,0,13,13,0.0,1.0
73,4843,1,9,1,0,234,0,13,13,0.0,1.0
80,4843,1,9,1,0,253,0,13,13,0.0,1.0
86,4843,1,9,1,0,72,0,13,13,0.0,1.0
80,4844,1,0,2,0,253,0,1,1,0.0,1.0
23,4845,1,126,106,0,284,0,3,3,0.0,1.0
45,4845,1,126,106,0,1396,0,3,3,0.0,1.0
64,4845,1,126,106,0,356,0,3,3,0.0,1.0
140,4846,1,1,0,1,1193,1,1,0,1.0,0.0
56,4847,1,7,54,0,306,0,1,1,0.0,1.0
150,4848,1,42,13,1,337,1,1,0,1.0,0.0
32,4849,1,11,12,0,1228,0,1,1,0.0,1.0
95,4850,1,2,0,1,552,1,1,0,1.0,0.0
100,4851,1,4,0,1,138,2,2,0,1.0,0.0
180,4851,1,4,0,1,1214,2,2,0,1.0,0.0
171,4852,1,1,0,1,648,1,1,0,1.0,0.0
154,4853,1,125,160,1,135,1,1,0,1.0,0.0
72,4854,1,19,874,0,734,0,1,1,0.0,1.0
31,4855,1,10,0,0,59,0,1,1,0.0,1.0
6,4856,1,4,10,0,521,2,3,1,0.67,0.33
151,4856,1,4,10,1,164,2,3,1,0.67,0.33
153,4856,1,4,10,1,957,2,3,1,0.67,0.33
91,4857,1,7,0,0,627,0,1,1,0.0,1.0
46,4858,1,8,1,0,315,0,1,1,0.0,1.0
95,4859,1,2,1,1,552,2,2,0,1.0,0.0
148,4859,1,2,1,1,127,2,2,0,1.0,0.0
127,4860,1,8,0,1,379,1,1,0,1.0,0.0
153,4861,1,17,13,1,957,1,1,0,1.0,0.0
115,4862,1,6,2,1,243,1,1,0,1.0,0.0
87,4863,1,4,1,0,823,0,1,1,0.0,1.0
45,4864,1,67,48,0,1396,0,1,1,0.0,1.0
153,4865,1,9,2,1,957,1,1,0,1.0,0.0
32,4866,1,52,50,0,1228,0,1,1,0.0,1.0
6,4867,1,168,164,0,521,0,1,1,0.0,1.0
162,4868,1,24,19,1,101,1,1,0,1.0,0.0
96,4869,1,8,6,1,47,2,2,0,1.0,0.0
100,4869,1,8,6,1,138,2,2,0,1.0,0.0
56,4870,1,4,0,0,306,0,1,1,0.0,1.0
80,4871,1,13,3,0,253,0,1,1,0.0,1.0
60,4872,1,1,0,0,12,3,4,1,0.75,0.25
114,4872,1,1,0,1,20,3,4,1,0.75,0.25
150,4872,1,1,0,1,337,3,4,1,0.75,0.25
157,4872,1,1,0,1,41,3,4,1,0.75,0.25
9,4873,1,15,7,0,95,0,4,4,0.0,1.0
42,4873,1,15,7,0,735,0,4,4,0.0,1.0
48,4873,1,15,7,0,49,0,4,4,0.0,1.0
80,4873,1,15,7,0,253,0,4,4,0.0,1.0
32,4874,1,6,0,0,1228,0,1,1,0.0,1.0
98,4875,1,49,2,1,157,2,2,0,1.0,0.0
106,4875,1,49,2,1,157,2,2,0,1.0,0.0
95,4876,1,2,4,1,552,1,1,0,1.0,0.0
115,4877,1,37,21,1,243,2,2,0,1.0,0.0
180,4877,1,37,21,1,1214,2,2,0,1.0,0.0
91,4878,1,130,95,0,627,2,3,1,0.67,0.33
114,4878,1,130,95,1,20,2,3,1,0.67,0.33
124,4878,1,130,95,1,248,2,3,1,0.67,0.33
82,4879,1,199,180,0,108,0,1,1,0.0,1.0
87,4880,1,32,34,0,823,0,1,1,0.0,1.0
82,4881,1,148,116,0,108,0,1,1,0.0,1.0
56,4882,1,26,6,0,306,0,1,1,0.0,1.0
153,4883,1,14,0,1,957,1,1,0,1.0,0.0
10,4884,1,3,3,0,262,0,2,2,0.0,1.0
77,4884,1,3,3,0,98,0,2,2,0.0,1.0
171,4885,1,74,44,1,648,1,1,0,1.0,0.0
141,4886,1,668,579,1,128,1,1,0,1.0,0.0
23,4887,1,92,74,0,284,0,7,7,0.0,1.0
45,4887,2,92,74,0,1396,0,7,7,0.0,1.0
57,4887,1,92,74,0,232,0,7,7,0.0,1.0
64,4887,1,92,74,0,356,0,7,7,0.0,1.0
66,4887,1,92,74,0,221,0,7,7,0.0,1.0
73,4887,1,92,74,0,234,0,7,7,0.0,1.0
56,4888,1,3,0,0,306,0,1,1,0.0,1.0
168,4889,1,45,48,1,744,1,1,0,1.0,0.0
150,4890,1,57,89,1,337,1,1,0,1.0,0.0
29,4891,1,9,8,0,46,0,6,6,0.0,1.0
31,4891,1,9,8,0,59,0,6,6,0.0,1.0
42,4891,1,9,8,0,735,0,6,6,0.0,1.0
80,4891,1,9,8,0,253,0,6,6,0.0,1.0
87,4891,1,9,8,0,823,0,6,6,0.0,1.0
91,4891,1,9,8,0,627,0,6,6,0.0,1.0
126,4892,1,60,51,1,440,1,1,0,1.0,0.0
153,4893,1,77,75,1,957,1,1,0,1.0,0.0
151,4894,1,4,0,1,164,1,1,0,1.0,0.0
64,4895,1,160,165,0,356,2,3,1,0.67,0.33
93,4895,1,160,165,1,840,2,3,1,0.67,0.33
171,4895,1,160,165,1,648,2,3,1,0.67,0.33
91,4896,1,78,38,0,627,0,1,1,0.0,1.0
93,4897,1,17,5,1,840,1,1,0,1.0,0.0
56,4898,1,5,0,0,306,0,1,1,0.0,1.0
87,4899,1,81,75,0,823,0,1,1,0.0,1.0
105,4900,2,283,199,1,119,2,2,0,1.0,0.0
93,4901,1,2,0,1,840,2,2,0,1.0,0.0
126,4901,1,2,0,1,440,2,2,0,1.0,0.0
95,4902,1,12,0,1,552,2,2,0,1.0,0.0
169,4902,1,12,0,1,219,2,2,0,1.0,0.0
32,4903,2,39,36,0,1228,0,2,2,0.0,1.0
105,4904,1,10,1,1,119,6,6,0,1.0,0.0
109,4904,1,10,1,1,205,6,6,0,1.0,0.0
112,4904,1,10,1,1,89,6,6,0,1.0,0.0
122,4904,1,10,1,1,184,6,6,0,1.0,0.0
147,4904,1,10,1,1,49,6,6,0,1.0,0.0
148,4904,1,10,1,1,127,6,6,0,1.0,0.0
90,4905,1,2,0,0,19,1,2,1,0.5,0.5
153,4905,1,2,0,1,957,1,2,1,0.5,0.5
43,4906,1,3,0,0,37,2,3,1,0.67,0.33
93,4906,2,3,0,1,840,2,3,1,0.67,0.33
153,4907,1,105,622,1,957,1,1,0,1.0,0.0
16,4908,1,3,0,0,147,0,1,1,0.0,1.0
64,4909,1,17,3,0,356,0,1,1,0.0,1.0
45,4910,2,7,2,0,1396,0,2,2,0.0,1.0
153,4911,1,9,0,1,957,1,1,0,1.0,0.0
140,4912,1,1,1,1,1193,1,1,0,1.0,0.0
91,4913,1,1,0,0,627,0,1,1,0.0,1.0
56,4914,1,2,0,0,306,0,1,1,0.0,1.0
32,4915,1,42,51,0,1228,0,1,1,0.0,1.0
87,4916,1,2,0,0,823,0,1,1,0.0,1.0
151,4917,1,4,2,1,164,2,2,0,1.0,0.0
153,4917,1,4,2,1,957,2,2,0,1.0,0.0
56,4918,1,7,3,0,306,0,1,1,0.0,1.0
87,4919,1,31,16,0,823,0,1,1,0.0,1.0
150,4920,1,28,8,1,337,1,1,0,1.0,0.0
42,4921,1,14,7,0,735,0,2,2,0.0,1.0
72,4921,1,14,7,0,734,0,2,2,0.0,1.0
93,4922,1,0,1,1,840,1,1,0,1.0,0.0
169,4923,1,8,8,1,219,2,2,0,1.0,0.0
180,4923,1,8,8,1,1214,2,2,0,1.0,0.0
45,4924,1,0,1,0,1396,0,1,1,0.0,1.0
87,4925,1,22,9,0,823,0,1,1,0.0,1.0
6,4926,1,13,9,0,521,0,1,1,0.0,1.0
168,4927,1,286,276,1,744,1,1,0,1.0,0.0
82,4928,1,27,0,0,108,0,1,1,0.0,1.0
42,4929,1,43,45,0,735,0,1,1,0.0,1.0
17,4930,1,0,29,0,188,0,2,2,0.0,1.0
51,4930,1,0,29,0,68,0,2,2,0.0,1.0
45,4931,1,3,7,0,1396,0,1,1,0.0,1.0
32,4932,1,7,0,0,1228,0,1,1,0.0,1.0
140,4933,1,16,4,1,1193,1,1,0,1.0,0.0
46,4934,1,35,5,0,315,0,1,1,0.0,1.0
127,4935,1,248,204,1,379,1,1,0,1.0,0.0
110,4936,1,2,0,1,128,1,1,0,1.0,0.0
2,4937,2,13,10,0,64,0,8,8,0.0,1.0
5,4937,1,13,10,0,100,0,8,8,0.0,1.0
9,4937,1,13,10,0,95,0,8,8,0.0,1.0
42,4937,2,13,10,0,735,0,8,8,0.0,1.0
66,4937,1,13,10,0,221,0,8,8,0.0,1.0
72,4937,1,13,10,0,734,0,8,8,0.0,1.0
45,4938,1,27,21,0,1396,0,1,1,0.0,1.0
72,4939,1,5,0,0,734,0,1,1,0.0,1.0
95,4940,1,2,0,1,552,1,1,0,1.0,0.0
98,4941,1,4,0,1,157,2,2,0,1.0,0.0
106,4941,1,4,0,1,157,2,2,0,1.0,0.0
127,4942,1,60,25,1,379,1,1,0,1.0,0.0
32,4943,1,20,4,0,1228,0,1,1,0.0,1.0
154,4944,1,4,0,1,135,1,1,0,1.0,0.0
6,4945,1,4,1,0,521,0,1,1,0.0,1.0
91,4946,1,27,24,0,627,0,1,1,0.0,1.0
45,4947,1,562,574,0,1396,0,1,1,0.0,1.0
95,4948,3,141,141,1,552,11,11,0,1.0,0.0
100,4948,1,141,141,1,138,11,11,0,1.0,0.0
112,4948,1,141,141,1,89,11,11,0,1.0,0.0
113,4948,1,141,141,1,136,11,11,0,1.0,0.0
126,4948,1,141,141,1,440,11,11,0,1.0,0.0
159,4948,1,141,141,1,13,11,11,0,1.0,0.0
161,4948,1,141,141,1,12,11,11,0,1.0,0.0
169,4948,1,141,141,1,219,11,11,0,1.0,0.0
181,4948,1,141,141,1,412,11,11,0,1.0,0.0
32,4949,1,1,0,0,1228,0,1,1,0.0,1.0
87,4950,1,36,7,0,823,0,1,1,0.0,1.0
23,4951,1,171,152,0,284,0,1,1,0.0,1.0
153,4952,1,123,84,1,957,1,1,0,1.0,0.0
89,4953,1,33,6,0,289,0,1,1,0.0,1.0
109,4954,1,22,3,1,205,1,1,0,1.0,0.0
6,4955,1,19,3,0,521,0,1,1,0.0,1.0
46,4956,1,167,589,0,315,0,1,1,0.0,1.0
87,4957,2,5,0,0,823,0,2,2,0.0,1.0
110,4958,1,13,2,1,128,1,1,0,1.0,0.0
171,4959,1,24,5,1,648,1,1,0,1.0,0.0
2,4960,1,31,5,0,64,0,16,16,0.0,1.0
3,4960,1,31,5,0,59,0,16,16,0.0,1.0
5,4960,1,31,5,0,100,0,16,16,0.0,1.0
7,4960,1,31,5,0,87,0,16,16,0.0,1.0
17,4960,1,31,5,0,188,0,16,16,0.0,1.0
34,4960,1,31,5,0,90,0,16,16,0.0,1.0
42,4960,2,31,5,0,735,0,16,16,0.0,1.0
50,4960,1,31,5,0,71,0,16,16,0.0,1.0
51,4960,1,31,5,0,68,0,16,16,0.0,1.0
57,4960,1,31,5,0,232,0,16,16,0.0,1.0
66,4960,1,31,5,0,221,0,16,16,0.0,1.0
71,4960,1,31,5,0,64,0,16,16,0.0,1.0
73,4960,1,31,5,0,234,0,16,16,0.0,1.0
85,4960,1,31,5,0,49,0,16,16,0.0,1.0
86,4960,1,31,5,0,72,0,16,16,0.0,1.0
72,4961,1,1,1,0,734,0,1,1,0.0,1.0
115,4962,1,3,3,1,243,1,1,0,1.0,0.0
45,4963,1,3,0,0,1396,0,1,1,0.0,1.0
98,4964,1,15,146,1,157,2,2,0,1.0,0.0
106,4964,1,15,146,1,157,2,2,0,1.0,0.0
151,4965,1,0,5,1,164,1,1,0,1.0,0.0
124,4966,1,1,0,1,248,1,1,0,1.0,0.0
10,4967,1,4,3,0,262,0,1,1,0.0,1.0
72,4968,1,50,21,0,734,0,1,1,0.0,1.0
168,4969,2,21,1,1,744,4,4,0,1.0,0.0
180,4969,2,21,1,1,1214,4,4,0,1.0,0.0
32,4970,1,2,0,0,1228,0,1,1,0.0,1.0
45,4971,1,14,12,0,1396,0,1,1,0.0,1.0
124,4972,1,3,4,1,248,2,2,0,1.0,0.0
153,4972,1,3,4,1,957,2,2,0,1.0,0.0
91,4973,1,4,2,0,627,0,1,1,0.0,1.0
181,4974,1,43,20,1,412,1,1,0,1.0,0.0
6,4975,1,35,38,0,521,0,1,1,0.0,1.0
168,4976,1,9,0,1,744,3,3,0,1.0,0.0
180,4976,2,9,0,1,1214,3,3,0,1.0,0.0
168,4977,1,0,1,1,744,2,2,0,1.0,0.0
180,4977,1,0,1,1,1214,2,2,0,1.0,0.0
32,4978,1,4,4,0,1228,0,1,1,0.0,1.0
71,4979,1,2,0,0,64,0,1,1,0.0,1.0
6,4980,1,13,11,0,521,0,1,1,0.0,1.0
168,4981,1,3,0,1,744,1,1,0,1.0,0.0
99,4982,1,5,0,1,22,5,5,0,1.0,0.0
105,4982,2,5,0,1,119,5,5,0,1.0,0.0
109,4982,1,5,0,1,205,5,5,0,1.0,0.0
116,4982,1,5,0,1,40,5,5,0,1.0,0.0
98,4983,1,323,973,1,157,2,2,0,1.0,0.0
106,4983,1,323,973,1,157,2,2,0,1.0,0.0
150,4984,1,10,1,1,337,1,1,0,1.0,0.0
32,4985,1,33,1355,0,1228,1,3,2,0.33,0.67
77,4985,1,33,1355,0,98,1,3,2,0.33,0.67
181,4985,1,33,1355,1,412,1,3,2,0.33,0.67
109,4986,1,1,0,1,205,1,1,0,1.0,0.0
10,4987,1,22,18,0,262,0,1,1,0.0,1.0
125,4988,1,49,44,1,212,1,1,0,1.0,0.0
32,4989,1,43,17,0,1228,0,1,1,0.0,1.0
93,4990,1,25,30,1,840,1,1,0,1.0,0.0
98,4991,1,6,2,1,157,2,2,0,1.0,0.0
106,4991,1,6,2,1,157,2,2,0,1.0,0.0
100,4992,1,97,98,1,138,1,1,0,1.0,0.0
87,4993,1,27,6,0,823,0,1,1,0.0,1.0
180,4994,1,6,2,1,1214,1,1,0,1.0,0.0
6,4995,1,18,13,0,521,0,1,1,0.0,1.0
80,4996,1,16,2,0,253,0,1,1,0.0,1.0
10,4997,1,8,7,0,262,0,2,2,0.0,1.0
39,4997,1,8,7,0,4,0,2,2,0.0,1.0
93,4998,1,4,2,1,840,1,1,0,1.0,0.0
6,4999,1,35,38,0,521,0,1,1,0.0,1.0
168,5000,2,3,8,1,744,4,4,0,1.0,0.0
169,5000,1,3,8,1,219,4,4,0,1.0,0.0
181,5000,1,3,8,1,412,4,4,0,1.0,0.0
122,5001,1,9,3,1,184,2,2,0,1.0,0.0
160,5001,1,9,3,1,62,2,2,0,1.0,0.0
72,5002,8,51,44,0,734,0,8,8,0.0,1.0
93,5003,1,3,0,1,840,1,1,0,1.0,0.0
6,5004,1,1,0,0,521,0,1,1,0.0,1.0
153,5005,1,60,8,1,957,1,1,0,1.0,0.0
127,5006,1,3,2,1,379,1,1,0,1.0,0.0
93,5007,1,25,4,1,840,2,2,0,1.0,0.0
140,5007,1,25,4,1,1193,2,2,0,1.0,0.0
87,5008,1,56,9,0,823,0,1,1,0.0,1.0
95,5009,1,3,1,1,552,1,1,0,1.0,0.0
153,5010,1,5,2,1,957,1,1,0,1.0,0.0
32,5011,1,2,0,0,1228,0,1,1,0.0,1.0
45,5012,1,2,7,0,1396,0,1,1,0.0,1.0
126,5013,1,137,141,1,440,1,1,0,1.0,0.0
21,5014,1,243,219,0,94,0,1,1,0.0,1.0
140,5015,1,287,305,1,1193,1,1,0,1.0,0.0
32,5016,1,18,15,0,1228,0,1,1,0.0,1.0
180,5017,2,372,456,1,1214,2,2,0,1.0,0.0
95,5018,2,12,0,1,552,3,3,0,1.0,0.0
142,5018,1,12,0,1,271,3,3,0,1.0,0.0
64,5019,1,4,0,0,356,0,1,1,0.0,1.0
13,5020,1,19,10,0,273,0,8,8,0.0,1.0
23,5020,1,19,10,0,284,0,8,8,0.0,1.0
44,5020,1,19,10,0,112,0,8,8,0.0,1.0
45,5020,1,19,10,0,1396,0,8,8,0.0,1.0
57,5020,1,19,10,0,232,0,8,8,0.0,1.0
64,5020,1,19,10,0,356,0,8,8,0.0,1.0
66,5020,1,19,10,0,221,0,8,8,0.0,1.0
73,5020,1,19,10,0,234,0,8,8,0.0,1.0
72,5021,1,131,67,0,734,0,1,1,0.0,1.0
45,5022,1,1,0,0,1396,0,1,1,0.0,1.0
46,5023,1,4,1,0,315,0,1,1,0.0,1.0
126,5024,1,101,95,1,440,1,1,0,1.0,0.0
93,5025,1,20,13,1,840,1,1,0,1.0,0.0
32,5026,1,0,1,0,1228,0,1,1,0.0,1.0
32,5027,1,98,146,0,1228,0,1,1,0.0,1.0
45,5028,1,135,116,0,1396,0,2,2,0.0,1.0
87,5028,1,135,116,0,823,0,2,2,0.0,1.0
6,5029,1,4,6,0,521,0,1,1,0.0,1.0
91,5030,1,208,179,0,627,0,1,1,0.0,1.0
169,5031,1,2,0,1,219,1,1,0,1.0,0.0
18,5032,1,22,6,0,148,0,1,1,0.0,1.0
107,5033,1,7,4,1,54,3,3,0,1.0,0.0
181,5033,2,7,4,1,412,3,3,0,1.0,0.0
125,5034,1,6,1,1,212,1,1,0,1.0,0.0
32,5035,1,3,0,0,1228,0,1,1,0.0,1.0
153,5036,1,0,21,1,957,1,1,0,1.0,0.0
140,5037,1,1,0,1,1193,1,1,0,1.0,0.0
180,5038,1,9,1,1,1214,1,1,0,1.0,0.0
154,5039,1,17,21,1,135,1,1,0,1.0,0.0
32,5040,1,105,81,0,1228,0,1,1,0.0,1.0
140,5041,1,9,6,1,1193,1,1,0,1.0,0.0
46,5042,1,2,1,0,315,0,1,1,0.0,1.0
10,5043,1,15,0,0,262,0,1,1,0.0,1.0
115,5044,2,22,0,1,243,2,2,0,1.0,0.0
78,5045,1,21,0,0,90,0,2,2,0.0,1.0
83,5045,1,21,0,0,55,0,2,2,0.0,1.0
87,5046,1,10,5,0,823,0,1,1,0.0,1.0
18,5047,1,58,55,0,148,0,1,1,0.0,1.0
138,5048,1,1,0,1,385,1,1,0,1.0,0.0
23,5049,1,165,144,0,284,0,3,3,0.0,1.0
45,5049,1,165,144,0,1396,0,3,3,0.0,1.0
64,5049,1,165,144,0,356,0,3,3,0.0,1.0
180,5050,1,5,0,1,1214,1,1,0,1.0,0.0
3,5051,1,8,2,0,59,0,1,1,0.0,1.0
104,5052,1,29,8,1,47,2,2,0,1.0,0.0
130,5052,1,29,8,1,47,2,2,0,1.0,0.0
124,5053,1,349,357,1,248,1,1,0,1.0,0.0
140,5054,1,56,25,1,1193,1,1,0,1.0,0.0
115,5055,1,10,6,1,243,2,2,0,1.0,0.0
169,5055,1,10,6,1,219,2,2,0,1.0,0.0
72,5056,1,41,0,0,734,0,1,1,0.0,1.0
45,5057,3,10,4,0,1396,0,3,3,0.0,1.0
18,5058,1,43,49,0,148,0,1,1,0.0,1.0
87,5059,1,120,123,0,823,0,1,1,0.0,1.0
32,5060,1,12,0,0,1228,0,1,1,0.0,1.0
115,5061,1,144,132,1,243,1,1,0,1.0,0.0
42,5062,2,27,2,0,735,1,4,3,0.25,0.75
80,5062,1,27,2,0,253,1,4,3,0.25,0.75
155,5062,1,27,2,1,65,1,4,3,0.25,0.75
87,5063,1,1,0,0,823,0,1,1,0.0,1.0
45,5064,2,42,54,0,1396,0,2,2,0.0,1.0
180,5065,1,1,1,1,1214,1,1,0,1.0,0.0
124,5066,1,1,1,1,248,1,1,0,1.0,0.0
30,5067,1,4,1,0,44,2,3,1,0.67,0.33
98,5067,1,4,1,1,157,2,3,1,0.67,0.33
106,5067,1,4,1,1,157,2,3,1,0.67,0.33
173,5068,1,2,2,1,47,1,1,0,1.0,0.0
32,5069,1,132,84,0,1228,0,1,1,0.0,1.0
180,5070,1,4,1,1,1214,1,1,0,1.0,0.0
32,5071,1,78,40,0,1228,0,1,1,0.0,1.0
45,5072,1,6,2,0,1396,0,1,1,0.0,1.0
140,5073,2,31,13,1,1193,2,2,0,1.0,0.0
45,5074,1,77,71,0,1396,0,1,1,0.0,1.0
6,5075,1,44,90,0,521,0,1,1,0.0,1.0
87,5076,1,84,85,0,823,0,1,1,0.0,1.0
45,5077,1,10,8,0,1396,0,1,1,0.0,1.0
6,5078,1,7,0,0,521,0,1,1,0.0,1.0
10,5079,1,3,0,0,262,0,3,3,0.0,1.0
23,5079,1,3,0,0,284,0,3,3,0.0,1.0
72,5079,1,3,0,0,734,0,3,3,0.0,1.0
150,5080,1,69,69,1,337,1,1,0,1.0,0.0
147,5081,1,32,4,1,49,1,1,0,1.0,0.0
91,5082,1,87,23,0,627,0,1,1,0.0,1.0
180,5083,1,3,1,1,1214,1,1,0,1.0,0.0
46,5084,1,1,0,0,315,0,1,1,0.0,1.0
91,5085,1,4,0,0,627,0,1,1,0.0,1.0
95,5086,1,1,0,1,552,1,1,0,1.0,0.0
87,5087,1,1,0,0,823,0,1,1,0.0,1.0
72,5088,1,1,0,0,734,0,1,1,0.0,1.0
136,5089,1,3,0,1,91,1,1,0,1.0,0.0
93,5090,1,15,5,1,840,1,1,0,1.0,0.0
180,5091,1,1,1,1,1214,1,1,0,1.0,0.0
112,5092,1,71,47,1,89,1,1,0,1.0,0.0
32,5093,1,7,1,0,1228,0,1,1,0.0,1.0
50,5094,1,6,4,0,71,0,3,3,0.0,1.0
83,5094,1,6,4,0,55,0,3,3,0.0,1.0
89,5094,1,6,4,0,289,0,3,3,0.0,1.0
127,5095,1,1,0,1,379,1,1,0,1.0,0.0
32,5096,1,7,5,0,1228,0,1,1,0.0,1.0
91,5097,1,27,18,0,627,0,1,1,0.0,1.0
168,5098,1,17,6,1,744,1,1,0,1.0,0.0
91,5099,1,284,253,0,627,0,1,1,0.0,1.0
140,5100,1,7,1,1,1193,2,2,0,1.0,0.0
171,5100,1,7,1,1,648,2,2,0,1.0,0.0
44,5101,1,0,3,0,112,0,1,1,0.0,1.0
87,5102,1,19,23,0,823,0,1,1,0.0,1.0
82,5103,1,19,14,0,108,0,1,1,0.0,1.0
6,5104,1,33,9,0,521,0,1,1,0.0,1.0
153,5105,1,5,1,1,957,1,1,0,1.0,0.0
180,5106,1,6,2,1,1214,1,1,0,1.0,0.0
3,5107,1,5,0,0,59,0,13,13,0.0,1.0
5,5107,1,5,0,0,100,0,13,13,0.0,1.0
7,5107,1,5,0,0,87,0,13,13,0.0,1.0
9,5107,1,5,0,0,95,0,13,13,0.0,1.0
34,5107,1,5,0,0,90,0,13,13,0.0,1.0
42,5107,2,5,0,0,735,0,13,13,0.0,1.0
51,5107,1,5,0,0,68,0,13,13,0.0,1.0
57,5107,1,5,0,0,232,0,13,13,0.0,1.0
71,5107,1,5,0,0,64,0,13,13,0.0,1.0
73,5107,1,5,0,0,234,0,13,13,0.0,1.0
80,5107,1,5,0,0,253,0,13,13,0.0,1.0
86,5107,1,5,0,0,72,0,13,13,0.0,1.0
153,5108,1,13,0,1,957,1,1,0,1.0,0.0
76,5109,1,58,39,0,20,1,2,1,0.5,0.5
154,5109,1,58,39,1,135,1,2,1,0.5,0.5
105,5110,1,261,230,1,119,1,1,0,1.0,0.0
56,5111,1,9,2,0,306,0,1,1,0.0,1.0
45,5112,1,29,19,0,1396,0,1,1,0.0,1.0
153,5113,1,11,4,1,957,1,1,0,1.0,0.0
109,5114,1,14,13,1,205,3,3,0,1.0,0.0
121,5114,1,14,13,1,87,3,3,0,1.0,0.0
140,5114,1,14,13,1,1193,3,3,0,1.0,0.0
10,5115,1,18,13,0,262,1,5,4,0.2,0.8
21,5115,1,18,13,0,94,1,5,4,0.2,0.8
41,5115,1,18,13,0,119,1,5,4,0.2,0.8
42,5115,1,18,13,0,735,1,5,4,0.2,0.8
147,5115,1,18,13,1,49,1,5,4,0.2,0.8
115,5116,2,2,2,1,243,3,3,0,1.0,0.0
180,5116,1,2,2,1,1214,3,3,0,1.0,0.0
126,5117,1,5,0,1,440,1,1,0,1.0,0.0
180,5118,1,80,84,1,1214,1,1,0,1.0,0.0
151,5119,1,3,0,1,164,1,1,0,1.0,0.0
42,5120,2,4,5,0,735,1,4,3,0.25,0.75
87,5120,1,4,5,0,823,1,4,3,0.25,0.75
150,5120,1,4,5,1,337,1,4,3,0.25,0.75
171,5121,2,12,35,1,648,3,3,0,1.0,0.0
181,5121,1,12,35,1,412,3,3,0,1.0,0.0
138,5122,1,195,144,1,385,1,1,0,1.0,0.0
100,5123,1,78,21,1,138,3,3,0,1.0,0.0
141,5123,1,78,21,1,128,3,3,0,1.0,0.0
143,5123,1,78,21,1,79,3,3,0,1.0,0.0
87,5124,1,7,0,0,823,0,1,1,0.0,1.0
64,5125,1,68,64,0,356,0,1,1,0.0,1.0
104,5126,1,2,2,1,47,2,2,0,1.0,0.0
130,5126,1,2,2,1,47,2,2,0,1.0,0.0
72,5127,1,56,14,0,734,0,1,1,0.0,1.0
140,5128,1,10,939,1,1193,1,1,0,1.0,0.0
72,5129,1,5,0,0,734,0,1,1,0.0,1.0
181,5130,1,61,31,1,412,1,1,0,1.0,0.0
42,5131,1,1,2,0,735,0,1,1,0.0,1.0
105,5132,2,8,13,1,119,6,6,0,1.0,0.0
116,5132,1,8,13,1,40,6,6,0,1.0,0.0
121,5132,1,8,13,1,87,6,6,0,1.0,0.0
180,5132,2,8,13,1,1214,6,6,0,1.0,0.0
72,5133,1,52,28,0,734,0,1,1,0.0,1.0
168,5134,1,1,0,1,744,1,1,0,1.0,0.0
110,5135,1,8,0,1,128,1,1,0,1.0,0.0
10,5136,1,2,2,0,262,0,4,4,0.0,1.0
21,5136,1,2,2,0,94,0,4,4,0.0,1.0
41,5136,1,2,2,0,119,0,4,4,0.0,1.0
77,5136,1,2,2,0,98,0,4,4,0.0,1.0
91,5137,1,29,27,0,627,0,1,1,0.0,1.0
180,5138,1,1,0,1,1214,1,1,0,1.0,0.0
32,5139,1,9,9,0,1228,0,1,1,0.0,1.0
32,5140,1,1,0,0,1228,0,1,1,0.0,1.0
